,Supervisor,,,NADO Supervisor,,,FT Delivery T1-T6,,,NADO FT Delivery T1-T6,,,B3 Delivery,,,NADO B3 Delivery,,,FT Plating,,,NADO FT Plating,,,Plating PT P3-8,,,Plating PT E3-5,,,Plating PT H1-3,,,Plating PT M1-2,Decoded Text,,FT KM D1-D4,,,NADO FT KM D1-D4,Decoded Text,,PT KM K-K3,,,PT KM K1-2,,,PT K5,,,PT K4,,,FT MM,,,NADO FT MM,,,PT Delivery,,,PT Delivery B3,
1,L,12:30-21:00,1,L,12:56-21:00,1,T1,07:00-15:30,1,T1,07:00-15:06,1,B3,07:00-15:30,1,B3,07:00-15:06,1,P1,06:00-14:30,1,P1,06:00-14:06,1,P6,14:30-19:30,1,E3,07:00-11:00,1,H1,14:30-18:30,1,M1,14:30-18:30,1,D1,07:00-15:30,1,D1,07:00-15:06,1,O,RDO,1,O,RDO,1,K5,15:30-19:30,1,O,RDO,1,L,08:30-17:00,1,L,08:57-16:48,1,T1,16:30-21:00,1,T4,16:30-21:00
2,L,12:30-21:00,2,L,12:56-21:00,2,T1,07:00-15:30,2,T1,07:00-15:06,2,B3,07:00-15:30,2,B3,07:00-15:06,2,P1,06:00-14:30,2,P1,06:00-14:06,2,P6,14:30-19:30,2,E3,07:00-11:00,2,H1,14:30-18:30,2,M1,14:30-18:30,2,D1,07:00-15:30,2,D1,07:00-15:06,2,O,RDO,2,O,RDO,2,O,RDO,2,K4,17:00-21:00,2,E,07:45-16:15,2,E,07:57-16:03,2,T1,16:30-21:00,2,T4,16:30-21:00
3,E,05:30-14:00,3,E,05:30-13:36,3,T1,07:00-15:30,3,T1,07:00-15:06,3,B1,07:00-15:30,3,B1,07:00-15:06,3,P1,06:00-14:30,3,P1,06:00-14:06,3,P3,07:00-12:00,3,O,RDO,3,O,RDO,3,M1,14:30-18:30,3,O,RDO,3,O,RDO,3,K3,14:30-21:00,3,K2,16:00-20:00,3,O,RDO,3,K4,17:00-21:00,3,E1,05:30-14:00,3,E1,05:30-13:36,3,T1,16:30-21:00,3,O,RDO
4,E,05:30-14:00,4,E,05:30-13:36,4,T1,07:00-15:30,4,T1,07:00-15:06,4,B1,07:00-15:30,4,B1,07:00-15:06,4,P1,06:00-14:30,4,P1,06:00-14:06,4,P3,07:00-12:00,4,O,RDO,4,O,RDO,4,M1,14:30-18:30,4,O,RDO,4,O,RDO,4,K3,14:30-21:00,4,K1,16:00-20:00,4,K5,15:30-19:30,4,K4,17:00-21:00,4,E1,05:30-14:00,4,E1,05:30-13:36,4,T1,16:30-21:00,4,O,RDO
5,E,05:30-14:00,5,E,05:30-13:36,5,T1,07:00-15:30,5,T1,07:00-15:06,5,B1,07:00-15:30,5,B1,07:00-15:06,5,P1,06:00-14:30,5,P1,06:00-14:06,5,P3,07:00-12:00,5,E3,07:00-11:00,5,H1,14:30-18:30,5,M1,14:30-18:30,5,O,RDO,5,O,RDO,5,K3,14:30-21:00,5,K1,16:00-20:30,5,K5,15:30-19:30,5,K4,17:00-21:00,5,E1,05:30-14:00,5,E1,05:30-13:36,5,T1,16:30-21:00,5,O,RDO
6,O,RDO,6,O,RDO,6,O,RDO,6,O,RDO,6,O,RDO,6,O,RDO,6,O,RDO,6,O,RDO,6,O,RDO,6,E3,07:00-11:00,6,H1,14:30-18:30,6,M1,14:30-18:30,6,D1,07:00-15:30,6,D1,07:00-15:06,6,K,08:00-14:30,6,K1,16:00-20:30,6,K5,15:30-19:30,6,K4,17:00-21:00,6,O,RDO,6,O,RDO,6,O,RDO,6,T4,16:30-21:00
7,O,RDO,7,O,RDO,7,O,RDO,7,O,RDO,7,O,RDO,7,O,RDO,7,O,RDO,7,O,RDO,7,O,RDO,7,E3,07:00-11:00,7,H1,14:30-18:30,7,O,RDO,7,D1,07:00-15:30,7,D1,07:00-15:06,7,K+,08:00-16:30,7,K1,16:00-20:30,7,K5,15:30-19:30,7,O,RDO,7,O,RDO,7,O,RDO,7,O,RDO,7,T4,16:30-21:00
8,A,ADO,8,S,05:30-13:36,8,O,RDO,8,O,RDO,8,O,RDO,8,O,RDO,8,O,RDO,8,O,RDO,8,O,RDO,8,E3,07:00-11:00,8,H1,14:30-18:30,8,O,RDO,8,D1,07:00-15:30,8,D1,07:00-15:06,8,K,08:00-14:30,8,K1,16:00-20:30,8,K5,15:30-19:30,8,O,RDO,8,A,ADO,8,S,07:00-15:06,8,O,RDO,8,T4,16:30-21:00
9,L,12:30-21:00,9,L,12:56-21:00,9,T1,07:00-15:30,9,T1,07:00-15:06,9,B3,07:00-15:30,9,B3,07:00-15:06,9,P2,06:00-14:30,9,P2,06:00-14:06,9,P6,14:30-19:30,9,E3,07:00-11:00,9,H1,14:30-18:30,9,M1,14:30-18:30,9,D1,07:00-15:30,9,D1,07:00-15:06,9,O,RDO,9,O,RDO,9,O,RDO,9,K4,17:00-21:00,9,E,07:45-16:15,9,E,07:57-16:03,9,T1,16:30-21:00,9,T4,16:30-21:00
10,L,12:30-21:00,10,L,12:56-21:00,10,T1,07:00-15:30,10,T1,07:00-15:06,10,B3,07:00-15:30,10,B3,07:00-15:06,10,P2,06:00-14:30,10,P2,06:00-14:06,10,P6,14:30-19:30,10,E3,07:00-11:00,10,H2,14:30-18:30,10,M1,14:30-18:30,10,D1,07:00-15:30,10,D1,07:00-15:06,10,O,RDO,10,O,RDO,10,O,RDO,10,K4,17:00-21:00,10,E,07:45-16:15,10,E,07:57-16:03,10,T1,16:30-21:00,10,T4,16:30-21:00
