code,start,finish
B1,07:00,15:06
B1,07:00,15:30
B3,07:00,15:06
B3,07:00,15:30
D1,07:00,15:06
D1,07:00,15:30
D2,07:00,15:06
D2,07:00,15:30
D3,12:00,20:06
D3,12:00,20:30
D4,07:00,15:06
D4,07:00,15:30
E,05:30,13:36
E,05:30,14:00
E,07:45,16:15
E,07:57,16:03
E1,05:30,13:36
E1,05:30,14:00
E2,05:30,13:36
E2,05:30,14:00
E2,06:00,14:06
E2,06:00,14:30
E3,07:00,11:00
E4,07:00,11:00
E5,07:00,11:00
H1,14:30,18:30
H2,14:30,18:30
H3,14:30,18:30
K,08:00,14:30
K+,08:00,16:30
K1,16:00,20:00
K1,16:00,20:30
K2,16:00,20:00
K2,16:00,20:30
K3,14:30,21:00
K4,17:00,21:00
K5,15:30,19:30
L,08:30,17:00
L,08:42,16:48
L,12:30,21:00
L,12:54,21:00
L1,11:00,19:30
L1,11:12,19:18
M1,14:30,18:30
M2,14:30,18:30
P1,06:00,14:06
P1,06:00,14:30
P2,06:00,14:06
P2,06:00,14:30
P3,07:00,12:00
P4,07:00,12:00
P5,07:00,12:00
P6,14:30,19:30
P7,14:30,19:30
P8,14:30,19:30
S,05:30,13:36
S,06:00,14:06
S,06:00,14:30
S,07:00,15:06
S,07:00,15:30
T1,07:00,15:06
T1,07:00,15:30
T1,16:30,21:00
T2,07:00,15:06
T2,07:00,15:30
T2,16:30,21:00
T3,07:00,15:06
T3,07:00,15:30
T3,16:30,21:00
T4,16:30,21:00
T5,07:00,15:06
T5,07:00,15:30
T5,16:30,21:00
T6,07:00,15:06
T6,07:00,15:30
T6,16:30,21:00
